,1,2,3,4,5,6,7,8
ability,0.007017544,0,0,0.002621232,0,0,0,0
about,0.003508772,0.002415459,0,0.001310616,0,0.008849558,0,0
accepts,0.010526316,0,0,0,0,0,0,0
actions,0.010526316,0,0,0,0,0,0,0
after,0.004965044,0,0,0.001854571,0,0.012522456,0,0
all,0.019860175,0,0,0.005563712,0,0,0,0.047167917
almost,0.010526316,0,0,0,0,0,0,0
america,0.004965044,0.003417965,0,0.001854571,0,0,0,0
american,0.021052632,0.009661836,0,0,0,0,0,0
and,0.023300351,0.020050121,0.021467457,0.01359887,0,0.033056084,0,0.027669167
apart,0.010526316,0,0,0,0,0,0,0
are,0.019860175,0.00683593,0,0.012981995,0,0,0,0
arms,0.007017544,0,0,0.007863696,0,0,0,0
atlantic,0.007017544,0.004830918,0,0,0,0,0,0
away,0.007017544,0,0,0.007863696,0,0,0,0
because,0.007017544,0,0,0.002621232,0,0,0,0
become,0.007017544,0,0,0.002621232,0,0,0,0
been,0.014895132,0.003417965,0,0.001854571,0,0,0,0
before,0.010526316,0,0,0,0,0,0,0
better,0.014035088,0,0.034482759,0,0,0,0,0
big,0.010526316,0,0,0,0,0,0,0
born,0.021052632,0,0,0,0,0,0,0
broken,0.010526316,0,0,0,0,0,0,0
but,0.009930088,0.023925755,0,0.003709142,0,0,0,0
chance,0.010526316,0,0,0,0,0,0,0
children,0.031578947,0,0,0,0,0,0,0
choose,0.010526316,0,0,0,0,0,0,0
circumstance,0.010526316,0,0,0,0,0,0,0
come,0.010526316,0,0,0,0,0,0,0
commitment,0.010526316,0,0,0,0,0,0,0
conditions,0.010526316,0,0,0,0,0,0,0
country,0.009930088,0,0,0.007418283,0,0,0,0.023583958
cover,0.010526316,0,0,0,0,0,0,0
create,0.010526316,0,0,0,0,0,0,0
created,0.014035088,0,0,0,0,0,0,0.033333333
cries,0.010526316,0,0,0,0,0,0,0
crossed,0.010526316,0,0,0,0,0,0,0
cruelty,0.010526316,0,0,0,0,0,0,0
dangerous,0.007017544,0,0,0.010484928,0,0,0,0
darkness,0.010526316,0,0,0,0,0,0,0
day,0.007017544,0,0,0.002621232,0,0,0,0
deserve,0.010526316,0,0,0,0,0,0,0
desperate,0.010526316,0,0,0,0,0,0,0
else,0.010526316,0,0,0,0,0,0,0
enduring,0.010526316,0,0,0,0,0,0,0
enough,0.021052632,0,0,0.002621232,0,0,0,0
equal,0.010526316,0,0,0,0,0,0,0
eventually,0.007017544,0,0,0.002621232,0,0,0,0
families,0.042105263,0,0,0,0,0,0,0
fearing,0.010526316,0,0,0,0,0,0,0
finally,0.007017544,0,0,0.002621232,0,0,0,0
find,0.007017544,0,0,0.002621232,0,0,0,0
flee,0.010526316,0,0,0,0,0,0,0
for,0.016654398,0.008189274,0,0.006220843,0,0.024002545,0,0.011301198
fortunate,0.010526316,0,0,0,0,0,0,0
forward,0.004965044,0,0,0.001854571,0,0,0,0.023583958
found,0.007017544,0.004830918,0,0,0,0,0,0
from,0.0023792,0.004913565,0.035072685,0.003554768,0,0.006000636,0,0
generations,0.014035088,0,0,0,0,0.017699115,0,0
god,0.010526316,0,0,0,0,0,0,0
grace,0.010526316,0,0,0,0,0,0,0
grande,0.010526316,0,0,0,0,0,0,0
grandparents,0.010526316,0,0,0,0,0,0,0
grew,0.010526316,0,0,0,0,0,0,0
had,0.004965044,0.003417965,0,0.001854571,0,0,0,0
have,0.011895998,0.00327571,0.011690895,0.004443459,0,0,0,0.011301198
hear,0.010526316,0,0,0,0,0,0,0
heartrending,0.010526316,0,0,0,0,0,0,0
here,0.010526316,0,0,0,0,0,0,0
honor,0.010526316,0,0,0,0,0,0,0
how,0.007017544,0.024154589,0,0,0,0,0,0
human,0.021052632,0,0,0,0,0,0,0
ideal,0.010526316,0,0,0,0,0,0,0
imagine,0.031578947,0,0,0,0,0,0,0
immigrant,0.010526316,0,0,0,0,0,0,0
impulse,0.010526316,0,0,0,0,0,0,0
isnt,0.007017544,0.009661836,0,0,0,0,0,0
its,0.003508772,0.007246377,0,0.009174312,0,0.008849558,0,0
keep,0.010526316,0,0,0,0,0,0,0
kids,0.007017544,0,0,0,0,0,0,0.033333333
last,0.010526316,0,0,0,0,0,0,0
laws,0.021052632,0,0,0,0,0,0,0
legacy,0.007017544,0,0,0,0,0.017699115,0,0
life,0.009930088,0.003417965,0,0,0,0,0,0.023583958
like,0.007017544,0.004830918,0,0,0,0,0,0
lives,0.007017544,0,0.034482759,0,0,0,0,0
look,0.009930088,0.003417965,0,0,0,0,0,0.023583958
makes,0.014035088,0.004830918,0,0,0,0,0,0
many,0.004965044,0.00683593,0,0.001854571,0,0,0,0
miles,0.010526316,0,0,0,0,0,0,0
moment,0.010526316,0,0,0,0,0,0,0
more,0.009930088,0,0,0.005563712,0.02721226,0,0,0
names,0.010526316,0,0,0,0,0,0,0
nation,0.021052632,0,0,0,0,0,0,0
once,0.007017544,0.004830918,0,0,0,0,0,0
only,0.010526316,0,0,0,0,0,0,0
others,0.007017544,0.004830918,0,0,0,0,0,0
our,0.017475263,0.003007518,0,0.008159322,0.00798149,0.007345796,0,0.020751875
ourselves,0.021052632,0,0,0,0,0,0,0
pacific,0.010526316,0,0,0,0,0,0,0
parents,0.021052632,0,0,0,0,0,0,0
part,0.014035088,0,0,0.005242464,0,0,0,0
persecution,0.010526316,0,0,0,0,0,0,0
place,0.007017544,0,0,0.005242464,0,0,0,0
placed,0.007017544,0,0,0.002621232,0,0,0,0
plights,0.010526316,0,0,0,0,0,0,0
policies,0.007017544,0,0,0.002621232,0,0,0,0
propelled,0.010526316,0,0,0,0,0,0,0
protect,0.010526316,0,0,0,0,0,0,0
prove,0.010526316,0,0,0,0,0,0,0
puts,0.007017544,0,0,0.002621232,0,0,0,0
question,0.010526316,0,0,0,0,0,0,0
real,0.007017544,0,0,0.002621232,0,0,0,0
reality,0.007017544,0,0,0.002621232,0,0,0,0
refugee,0.021052632,0,0,0,0,0,0,0
rio,0.010526316,0,0,0,0,0,0,0
ripping,0.010526316,0,0,0,0,0,0,0
same,0.010526316,0,0,0,0,0,0,0
say,0.021052632,0,0,0,0,0,0,0
see,0.009930088,0.003417965,0,0,0.02721226,0,0,0
